,rank,word,count
500,649,mangler,10505
501,651,kaffe,10431
502,652,sidde,10430
503,653,føles,10384
504,654,godmorgen,10367
505,655,nede,10337
506,656,frank,10328
507,657,røven,10313
508,658,lykke,10277
509,659,millioner,10276
510,660,mente,10227
511,661,givet,10219
512,662,derinde,10206
513,663,jamen,10195
514,664,dum,10187
515,665,syg,10178
516,666,søde,10160
517,667,rart,10128
518,668,mindste,10125
519,669,kl,10125
520,670,husk,10121
521,671,kæmpe,10100
522,672,hænder,10098
523,673,mærke,10086
524,674,rette,10085
525,675,svin,10076
526,676,lod,10024
527,677,york,10023
528,678,film,10016
529,679,desværre,10007
530,680,krig,10003
531,681,tal,9987
532,682,skrive,9964
533,683,forhold,9961
534,684,skade,9951
535,685,herre,9950
536,686,fængsel,9948
537,687,spurgte,9920
538,688,syv,9862
539,689,større,9860
540,690,familien,9835
541,691,godnat,9834
542,692,skyde,9808
543,693,lig,9799
544,694,øjnene,9790
545,695,spiser,9754
546,696,følge,9715
547,697,følger,9685
548,698,goddag,9681
549,699,hund,9636
550,700,herrer,9629
551,701,vinder,9628
552,702,godeste,9623
553,703,træk,9616
554,704,anderledes,9550
555,705,kamp,9550
556,706,uanset,9525
557,707,blot,9522
558,708,gider,9507
559,709,sendte,9506
560,710,drikke,9473
561,711,travlt,9472
562,712,charlie,9467
563,713,vild,9460
564,714,afsted,9452
565,715,fest,9440
566,716,tillykke,9432
567,717,venstre,9382
568,718,passe,9335
569,719,betaler,9314
570,720,læse,9294
571,721,kør,9291
572,722,dollar,9272
573,723,skød,9268
574,724,brugte,9250
575,725,vred,9241
576,726,stole,9200
577,727,skole,9195
578,728,joe,9193
579,729,mike,9185
580,730,højt,9184
581,731,højre,9179
582,732,bekymret,9164
583,733,michael,9141
584,734,tjeneste,9116
585,735,tja,9104
586,736,hertil,9078
587,737,utroligt,9076
588,738,straks,9064
589,739,onkel,9063
590,740,åbne,9061
591,741,råd,9048
592,742,kørte,9044
593,743,telefon,9037
594,744,skudt,9034
595,745,fru,9031
596,746,knægt,9016
597,747,største,9016
598,748,løbe,8990
599,749,otte,8965
600,750,skolen,8952
601,751,sende,8945
602,752,hår,8944
603,753,forklare,8912
604,754,dejligt,8881
605,755,kontor,8858
606,756,sendt,8844
607,757,javel,8826
608,758,eget,8805
609,759,vejret,8740
610,760,tingene,8720
611,761,fbi,8719
612,762,damer,8708
613,763,pigen,8680
614,764,ung,8633
615,765,billede,8631
616,766,lede,8622
617,767,pistol,8606
618,768,peter,8603
619,769,david,8594
620,770,børnene,8592
621,771,mord,8546
622,772,menneske,8534
623,773,fandens,8532
624,774,spor,8521
625,775,normalt,8520
626,776,dele,8517
627,777,ende,8511
628,778,bog,8499
629,779,mødte,8479
630,780,hvide,8469
631,781,mødt,8460
632,782,kigger,8421
633,783,ægte,8413
634,784,vinde,8412
635,785,doktor,8404
636,786,mistet,8398
637,787,dyr,8363
638,788,indenfor,8363
639,789,sover,8342
640,790,stopper,8336
641,791,glemt,8331
642,792,læge,8330
643,793,skyder,8327
644,794,bord,8289
645,795,fyren,8285
646,796,bedst,8270
647,797,røv,8270
648,798,elske,8268
649,799,faldt,8268
650,800,lys,8202
651,801,slemt,8200
652,802,lyver,8198
653,803,george,8186
654,804,begynde,8186
655,806,betjent,8143
656,807,slået,8133
657,808,sikre,8127
658,809,forlade,8097
659,810,advokat,8096
660,811,ændre,8095
661,812,beviser,8072
662,813,aftes,8046
663,814,fanget,7998
664,815,telefonen,7956
665,816,lærer,7955
666,817,baby,7954
667,818,kendt,7948
668,819,dumme,7947
669,820,overhovedet,7947
670,821,sort,7944
671,822,ene,7925
672,823,usa,7911
673,824,kalde,7906
674,825,middag,7902
675,826,herinde,7896
676,827,forsøger,7885
677,828,james,7880
678,829,sekunder,7878
679,830,født,7875
680,831,skrev,7874
681,832,kig,7857
682,833,skriver,7840
683,834,hænderne,7836
684,835,selvom,7814
685,836,nemlig,7798
686,837,mistede,7793
687,838,landet,7765
688,839,arbejdede,7761
689,840,tidspunkt,7760
690,841,smukt,7753
691,842,falder,7735
692,843,flytte,7730
693,844,hent,7729
694,845,problemet,7725
695,846,underligt,7716
696,847,skylder,7697
697,848,egne,7696
698,849,brugt,7688
699,851,sad,7678
700,852,smukke,7669
701,853,fly,7659
702,854,fare,7651
703,855,rejser,7645
704,856,umuligt,7632
705,857,ærligt,7623
706,858,ide,7613
707,859,vildt,7609
708,860,øl,7601
709,861,prøvet,7598
710,862,slippe,7594
711,863,fuck,7592
712,864,hospitalet,7588
713,865,skyd,7583
714,866,kende,7582
715,867,tidligt,7555
716,868,dame,7534
717,869,skør,7499
718,870,stolt,7492
719,871,løber,7486
720,872,fars,7484
721,873,sat,7481
722,874,lægge,7464
723,875,rent,7457
724,876,føle,7443
725,877,enhver,7438
726,878,netop,7430
727,879,mund,7419
728,880,makker,7418
729,881,døden,7415
730,882,drink,7410
731,883,pokker,7409
732,884,billeder,7408
733,885,pris,7397
734,886,alting,7392
735,887,sælge,7389
736,888,fange,7382
737,889,reddede,7340
738,890,ødelægge,7330
739,891,vandet,7323
740,892,stemme,7298
741,893,kigge,7287
742,894,tør,7285
743,895,savner,7263
744,896,sorte,7254
745,897,løgn,7236
746,898,gave,7236
747,899,krop,7225
748,900,kontakt,7221
749,901,ringet,7197
750,902,fortsæt,7169
751,903,sur,7156
752,904,stoler,7154
753,905,ære,7146
754,906,forsigtig,7142
755,907,fleste,7140
756,908,sid,7138
757,909,starte,7136
758,910,ordne,7124
759,911,præsident,7123
760,912,glemme,7114
761,913,stærk,7102
762,914,rør,7088
763,915,miste,7064
764,916,sang,7059
765,917,stil,7058
766,918,glemte,7056
767,919,pænt,7045
768,920,gutter,7025
769,921,halv,7021
770,922,åben,7011
771,923,naturligvis,6996
772,924,færdige,6981
773,925,mrs,6981
774,926,angreb,6953
775,927,lægger,6937
776,928,lkke,6937
777,929,smule,6934
778,930,ender,6933
779,931,forkerte,6922
780,932,fin,6913
781,933,skidt,6901
782,934,tony,6889
783,935,lukket,6882
784,936,pa,6878
785,937,pludselig,6872
786,938,hav,6869
787,939,drøm,6862
788,940,ryger,6831
789,941,barnet,6816
790,942,skål,6815
791,943,stjal,6799
792,944,syntes,6797
793,945,følg,6795
794,946,mary,6782
795,947,midt,6774
796,948,sulten,6766
797,949,vender,6752
798,950,følelser,6748
799,951,hjalp,6745
800,952,bestemt,6736
801,953,direkte,6719
802,954,øh,6718
803,955,fortjener,6714
804,956,starter,6712
805,957,både,6705
806,958,virkede,6691
807,959,interessant,6687
808,960,lejlighed,6684
809,961,røvhul,6676
810,962,vende,6666
811,963,guds,6660
812,964,henry,6657
813,965,undskylde,6655
814,966,overalt,6654
815,967,paul,6653
816,968,oberst,6636
817,969,lært,6624
818,970,derovre,6594
819,971,ønskede,6586
820,972,styr,6584
821,973,masser,6581
822,974,historien,6579
823,975,nick,6564
824,976,frue,6550
825,977,tv,6549
826,978,heldig,6538
827,979,max,6530
828,980,stykker,6522
829,981,fører,6520
830,982,køber,6500
831,983,egentlig,6498
832,984,sarah,6498
833,985,mister,6490
834,986,mål,6488
835,987,kræver,6479
836,988,ro,6476
837,989,blå,6454
838,990,jimmy,6443
839,991,købte,6434
840,992,sælger,6429
841,993,a,6412
842,994,værste,6401
843,995,slipper,6400
844,996,luften,6396
845,997,forlod,6382
846,998,minder,6375
847,999,musik,6362
848,1000,skrevet,6350
849,1001,skønt,6345
850,1002,måned,6344
851,1003,dumt,6339
852,1004,general,6338
853,1005,alex,6333
854,1006,mulighed,6314
855,1007,fader,6280
856,1008,verdens,6272
857,1009,satte,6262
858,1010,send,6256
859,1011,ærlig,6247
860,1012,lå,6244
861,1013,brød,6233
862,1014,høj,6229
863,1015,meter,6223
864,1016,forsøgte,6215
865,1017,lovede,6197
866,1018,drikker,6186
867,1019,ens,6183
868,1020,enkelt,6180
869,1021,forsvandt,6170
870,1022,løs,6169
871,1023,stand,6160
872,1025,kaldte,6148
873,1026,trækker,6146
874,1027,danny,6144
875,1028,spørg,6142
876,1029,morges,6131
877,1030,bryder,6111
878,1031,trække,6105
879,1032,hurtigere,6098
880,1033,lagde,6094
881,1034,ødelagt,6094
882,1035,seriøst,6083
883,1036,slås,6075
884,1037,sødt,6072
885,1038,dengang,6053
886,1040,stemmer,6043
887,1041,tredje,6040
888,1042,harry,6031
889,1043,nemt,6028
890,1044,løj,6027
891,1045,lyset,6016
892,1046,tegn,6014
893,1047,ren,6012
894,1048,levende,6008
895,1049,læst,6005
896,1050,medmindre,5995
897,1051,sov,5994
898,1052,fortsætte,5989
899,1053,nær,5976
900,1054,forskellige,5973
901,1055,ejer,5965
902,1056,tide,5962
903,1057,jul,5958
904,1058,møder,5953
905,1059,skaffe,5949
906,1060,hånden,5947
907,1061,viste,5943
908,1062,ét,5937
909,1064,mon,5932
910,1065,snak,5929
911,1066,lærte,5927
912,1067,respekt,5920
913,1068,danse,5915
914,1069,lege,5906
915,1070,adgang,5879
916,1071,frokost,5878
917,1072,forelsket,5877
918,1073,taber,5872
919,1074,skid,5866
920,1075,stol,5864
921,1076,interesseret,5857
922,1077,hård,5846
923,1078,skam,5844
924,1079,gaden,5843
925,1080,jim,5834
926,1081,bed,5834
927,1082,gravid,5834
928,1083,nervøs,5818
929,1084,satan,5796
930,1085,lukke,5781
931,1086,vælge,5779
932,1087,krigen,5773
933,1088,drengen,5771
934,1089,hvilke,5771
935,1090,tjener,5770
936,1091,magt,5731
937,1092,stoffer,5725
938,1093,fart,5713
939,1094,hel,5712
940,1095,fremtiden,5703
941,1096,venlig,5698
942,1097,enten,5693
943,1098,ray,5690
944,1099,hul,5687
945,1100,flyve,5685
946,1101,tusind,5674
947,1102,derhen,5664
948,1103,smid,5661
949,1104,o,5656
950,1105,ordner,5655
951,1106,forlader,5648
952,1107,sko,5647
953,1108,date,5647
954,1109,evigt,5628
955,1110,enig,5620
956,1111,bagefter,5619
957,1112,morder,5609
958,1113,frøken,5602
959,1114,opgave,5593
960,1115,alvorligt,5591
961,1116,bill,5585
962,1117,plejede,5584
963,1118,nødvendigt,5583
964,1119,skrid,5568
965,1120,farligt,5567
966,1121,nar,5555
967,1122,personligt,5548
968,1123,nyheder,5547
969,1124,hov,5542
970,1125,søger,5532
971,1126,vandt,5526
972,1127,richard,5523
973,1128,sjæl,5522
974,1129,særlig,5521
975,1130,ekstra,5521
976,1131,sværger,5513
977,1132,såret,5507
978,1133,klarede,5495
979,1134,bar,5492
980,1135,valgte,5481
981,1136,forsvind,5464
982,1137,klaret,5462
983,1138,løbet,5456
984,1139,mors,5455
985,1140,ligge,5441
986,1141,begyndt,5420
987,1142,bekymre,5420
988,1143,lav,5413
989,1144,røre,5407
990,1145,flyt,5405
991,1146,lytter,5401
992,1147,besøg,5398
993,1148,spillet,5382
994,1149,planen,5382
995,1150,endda,5380
996,1151,red,5376
997,1152,åbenbart,5375
998,1153,tommy,5368
999,1154,jesus,5361
1000,1155,nød,5351
