,rank,word,count
0,13,hvad,865199
1,39,noget,351419
2,47,os,268505
3,49,ud,266770
4,53,have,245785
5,56,gør,216934
6,60,lige,185629
7,61,op,180367
8,62,hende,175652
9,66,tak,163300
10,67,gøre,161957
11,69,lad,155461
12,71,havde,154149
13,73,meget,152358
14,82,bliver,139948
15,84,sagde,136941
16,85,tilbage,134744
17,88,måske,129293
18,92,ind,118938
19,93,vores,117961
20,95,mere,116119
21,99,nogen,115337
22,100,lidt,115164
23,103,siger,112633
24,108,kun,105620
25,109,sådan,104978
26,111,dit,101387
27,112,jer,100849
28,114,mor,99847
29,116,tager,97673
30,117,mand,93704
31,121,tage,88133
32,123,sige,87155
33,126,end,85842
34,127,undskyld,85702
35,129,været,85155
36,132,væk,83298
37,134,blive,81255
38,138,fik,79857
39,143,laver,75209
40,144,nogle,74874
41,145,sted,72864
42,149,tale,68945
43,154,finde,65537
44,155,altid,65433
45,156,brug,65365
46,157,stadig,63736
47,160,åh,62001
48,161,fint,59849
49,162,anden,59516
50,163,lille,59077
51,164,kender,59063
52,168,intet,58064
53,170,ret,57053
54,171,gerne,56442
55,172,uden,56205
56,174,hendes,54136
57,176,lide,54001
58,177,hjælpe,53151
59,178,set,53048
60,179,mod,52347
61,180,troede,52039
62,182,vide,51484
63,183,gud,51469
64,184,gik,51413
65,187,vej,50122
66,189,sidste,49154
67,190,sker,49036
68,191,død,48988
69,193,vidste,47639
70,195,fanden,46063
71,196,forstår,45916
72,197,arbejde,45753
73,199,hør,45503
74,201,giv,45288
75,202,penge,45275
76,203,hjælp,44841
77,204,andet,44482
78,205,hen,44470
79,206,ven,44434
80,207,giver,43957
81,208,aften,43812
82,209,blevet,43798
83,210,jeres,43656
84,211,give,43463
85,213,høre,41485
86,214,taler,40860
87,215,længe,40431
88,216,eneste,40389
89,218,endnu,39875
90,220,holde,39721
91,221,fandt,39646
92,222,bruge,39341
93,223,skat,38967
94,224,synes,38497
95,225,bedste,38472
96,227,venner,37784
97,228,fortælle,37550
98,229,sikker,37421
99,230,finder,37346
100,232,navn,37010
101,233,skete,36853
102,234,måde,36468
103,235,tro,36380
104,236,døde,36273
105,237,sikkert,35997
106,238,hos,34785
107,239,selvfølgelig,34516
108,240,holder,34030
109,241,par,33976
110,242,hedder,33894
111,243,nødt,33820
112,244,flere,33622
113,245,fået,33588
114,246,behøver,33306
115,248,først,33014
116,249,engang,32444
117,250,vist,32416
118,251,verden,32312
119,252,betyder,32049
120,253,ude,32007
121,254,ellers,31991
122,255,snart,31834
123,256,stop,31829
124,257,stor,31801
125,259,bange,31366
126,260,børn,31329
127,261,næste,31005
128,262,faktisk,30966
129,263,gav,30419
130,264,søn,30270
131,265,pige,30269
132,266,fyr,30210
133,267,prøver,29907
134,268,ked,29787
135,269,derfor,29560
136,271,familie,28981
137,272,gange,28761
138,273,gode,28740
139,274,tiden,28734
140,275,øjeblik,28595
141,276,nye,28565
142,277,store,28477
143,278,lade,28420
144,279,lave,27998
145,280,ligesom,27977
146,281,alene,27682
147,282,mænd,27314
148,283,møde,27308
149,284,ihjel,27265
150,285,skyld,27263
151,286,sagt,27180
152,287,gamle,27164
153,288,dage,27130
154,289,galt,26987
155,290,mennesker,26916
156,291,kone,26807
157,293,altså,26717
158,294,ses,26613
159,295,fundet,26592
160,296,allerede,26494
161,297,arbejder,26388
162,298,grund,26361
163,299,slags,26275
164,300,stille,26215
165,301,én,26167
166,302,fem,26136
167,303,hvornår,26017
168,304,taget,25578
169,305,ønsker,25552
170,306,dø,25508
171,307,rigtig,25488
172,308,glad,25431
173,309,orden,25405
174,310,huske,25316
175,311,længere,25295
176,312,disse,24957
177,313,farvel,24828
178,314,slå,24800
179,315,hørte,24791
180,316,lyder,24738
181,317,begge,24714
182,318,bil,24579
183,319,dræbe,24347
184,320,hinanden,24299
185,321,hørt,24242
186,322,del,24221
187,323,rigtigt,24220
188,324,minutter,24131
189,326,politiet,24053
190,327,fejl,24007
191,329,senere,23684
192,330,bilen,23583
193,331,håber,23542
194,332,kvinde,23492
195,333,hører,23366
196,334,haft,23238
197,335,virker,23198
198,336,herfra,23138
199,337,fire,22980
200,338,l,22953
201,339,tænkte,22940
202,340,kommet,22921
203,341,sket,22897
204,342,dør,22797
205,343,helvede,22779
206,344,hus,22741
207,345,fortæl,22730
208,346,rolig,22661
209,347,venter,22631
210,348,hurtigt,22548
211,349,frem,22475
212,350,klare,22428
213,351,kører,22365
214,352,ny,22346
215,353,heller,22318
216,354,spørgsmål,22296
217,355,langt,22285
218,356,rundt,22280
219,357,bror,22234
220,358,næsten,22088
221,359,hvilken,22080
222,360,byen,22077
223,361,bliv,22004
224,362,sandt,21883
225,363,gået,21747
226,365,pas,21655
227,366,leder,21602
228,367,bør,21485
229,368,indtil,21445
230,369,fortalte,21429
231,370,side,21378
232,371,inden,21245
233,372,hellere,21159
234,373,ringer,21115
235,374,bad,20986
236,375,imod,20964
237,376,videre,20927
238,378,tænker,20741
239,379,lort,20703
240,382,mens,20578
241,384,pis,20369
242,385,sit,20334
243,386,problem,20321
244,387,ord,20223
245,388,vejen,20184
246,389,sød,20151
247,390,ondt,20136
248,391,dreng,20090
249,392,sent,19936
250,393,sjovt,19851
251,394,sæt,19801
252,395,klarer,19800
253,396,lang,19737
254,397,job,19724
255,398,inde,19682
256,399,datter,19675
257,400,problemer,19674
258,401,timer,19541
259,402,hr,19473
260,403,prøve,19430
261,404,svært,19317
262,405,køre,19240
263,406,nogensinde,19229
264,407,bag,19218
265,408,lader,19009
266,410,færdig,18790
267,411,vise,18698
268,412,stedet,18636
269,413,ligner,18585
270,414,ti,18558
271,415,hr.,18445
272,416,dræbte,18346
273,417,egen,18280
274,418,gammel,18163
275,419,hjemme,18150
276,421,forbi,18003
277,422,tænk,17996
278,423,fantastisk,17944
279,424,dog,17912
280,425,bor,17853
281,426,mad,17836
282,427,fri,17711
283,428,pengene,17701
284,429,sidder,17639
285,430,tænke,17595
286,431,stoppe,17587
287,432,john,17571
288,433,gennem,17543
289,434,føler,17528
290,435,omkring,17476
291,436,ad,17401
292,437,ske,17401
293,438,igennem,17362
294,439,mellem,17275
295,440,velkommen,17240
296,441,kæft,17228
297,442,måtte,17223
298,443,ringe,17184
299,444,hader,17136
300,445,fat,17039
301,446,jack,16941
302,447,løb,16933
303,448,stå,16912
304,449,spise,16865
305,450,vente,16847
306,451,chance,16808
307,452,flot,16683
308,453,ligger,16665
309,454,slet,16637
310,455,nyt,16627
311,456,slap,16474
312,457,døren,16452
313,458,våben,16417
314,459,slår,16410
315,460,kalder,16340
316,461,husker,16301
317,462,handler,16184
318,463,ring,16145
319,464,passer,16113
320,465,hvilket,16062
321,466,fortæller,16040
322,467,beder,15973
323,468,mest,15934
324,469,lavet,15892
325,470,huset,15825
326,471,al,15807
327,472,tæt,15611
328,474,uge,15599
329,475,seks,15579
330,476,hovedet,15564
331,477,spørge,15557
332,478,hånd,15534
333,479,søster,15516
334,480,leve,15514
335,481,plads,15453
336,482,hjælper,15434
337,483,redde,15383
338,484,sgu,15362
339,485,holdt,15360
340,486,historie,15262
341,487,sine,15225
342,488,resten,15222
343,489,ben,15180
344,490,bruger,15089
345,491,helst,15087
346,492,fast,15066
347,493,talte,15052
348,494,dræbt,15012
349,495,stort,14949
350,496,glem,14945
351,497,blod,14851
352,498,live,14792
353,499,nummer,14713
354,500,the,14597
355,501,kæreste,14581
356,502,new,14485
357,503,sandheden,14473
358,505,jorden,14412
359,506,begynder,14374
360,507,måneder,14368
361,508,tur,14267
362,509,spille,14266
363,510,kvinder,14206
364,511,slog,14162
365,512,nat,14122
366,513,seng,14093
367,514,lavede,14052
368,515,valg,14020
369,516,gift,14015
370,517,skide,13865
371,518,piger,13859
372,519,ringede,13844
373,520,prøv,13789
374,521,fuld,13740
375,522,time,13734
376,523,alligevel,13722
377,524,lære,13682
378,525,idé,13630
379,526,værsgo,13614
380,527,vand,13546
381,528,spiller,13538
382,529,drenge,13530
383,530,tænkt,13427
384,531,tidligere,13412
385,532,kort,13375
386,533,mindre,13373
387,534,besked,13328
388,535,talt,13327
389,536,rigtige,13294
390,537,prøvede,13229
391,538,præcis,13215
392,539,foregår,13183
393,540,læg,13182
394,541,masse,13146
395,542,øjne,13144
396,543,klokken,13122
397,544,forkert,12980
398,545,hårdt,12971
399,546,fedt,12957
400,547,agent,12955
401,548,dagen,12951
402,549,smuk,12876
403,550,kaptajn,12860
404,551,øje,12851
405,552,forstå,12848
406,553,elskede,12844
407,554,slut,12823
408,555,forældre,12803
409,556,lov,12766
410,557,sætte,12764
411,558,fortalt,12731
412,559,muligt,12689
413,560,kærlighed,12668
414,561,lever,12652
415,562,sam,12602
416,563,mening,12570
417,565,dr.,12534
418,566,hjerte,12456
419,567,chef,12450
420,568,sætter,12397
421,569,foran,12383
422,570,vigtigt,12381
423,571,ligeglad,12350
424,572,arbejdet,12328
425,573,sjov,12292
426,574,perfekt,12286
427,575,små,12261
428,576,luk,12249
429,577,uger,12238
430,578,forstået,12205
431,579,lover,12197
432,580,aner,12192
433,581,slip,12191
434,582,sag,12139
435,583,vis,12070
436,584,lyst,12064
437,585,viser,12033
438,586,fred,12027
439,587,dollars,12026
440,588,værre,12018
441,589,aftale,12010
442,590,sidst,12003
443,591,find,11978
444,592,spørger,11960
445,593,steder,11959
446,594,tom,11950
447,595,plan,11833
448,596,rejse,11809
449,597,udenfor,11794
450,598,hente,11789
451,599,svar,11763
452,600,dræber,11707
453,601,unge,11703
454,602,ansigt,11666
455,603,ej,11661
456,605,købe,11655
457,606,værd,11637
458,607,betale,11541
459,608,kendte,11458
460,609,dårligt,11417
461,610,klart,11369
462,611,endelig,11364
463,612,beskytte,11295
464,613,findes,11270
465,614,spil,11248
466,615,roligt,11239
467,616,let,11227
468,617,sender,11220
469,618,værelse,11195
470,619,stod,11190
471,620,fyre,11155
472,621,dårlig,11125
473,622,bede,11108
474,623,land,11105
475,624,henter,11096
476,625,derude,11079
477,626,oppe,11036
478,627,begyndte,11035
479,628,hoved,10988
480,629,person,10962
481,630,stykke,10951
482,631,træt,10945
483,632,by,10930
484,633,manden,10929
485,634,sex,10882
486,635,sikke,10870
487,636,natten,10860
488,637,kære,10858
489,638,sikkerhed,10852
490,639,mødes,10845
491,640,sove,10842
492,641,ønske,10820
493,642,skynd,10815
494,643,idiot,10790
495,644,fald,10760
496,645,dr,10729
497,646,tøj,10721
498,647,miss,10518
499,648,bo,10517
