,rank,word,count
0,0,jeg,3419469
1,1,det,3401135
2,4,ikke,1928834
3,8,og,1295114
4,9,har,1243797
5,10,vi,1094658
6,11,til,976099
7,12,på,940216
8,13,hvad,865199
9,14,med,858066
10,15,så,836679
11,17,mig,822776
12,23,kan,725548
13,24,af,646419
14,25,var,643823
15,26,vil,624428
16,29,skal,523551
17,31,ved,476495
18,32,om,460911
19,33,nu,416585
20,35,som,390810
21,36,hun,382509
22,37,nej,366467
23,38,min,360316
24,39,noget,351419
25,41,være,307877
26,42,bare,306196
27,43,din,301858
28,44,hvor,288470
29,45,må,281583
30,46,hvis,277500
31,47,os,268505
32,48,kom,268009
33,49,ud,266770
34,51,godt,247079
35,52,fra,245827
36,54,ville,239442
37,55,se,232244
38,56,gør,216934
39,58,hvorfor,187845
40,60,lige,185629
41,62,hende,175652
42,63,sig,173267
43,64,hvordan,169952
44,65,tror,167861
45,66,tak,163300
46,67,gøre,161957
47,68,kunne,156788
48,70,kommer,155261
49,71,havde,154149
50,72,eller,153892
51,73,meget,152358
52,74,nok,147751
53,75,få,147661
54,77,ingen,146257
55,79,gå,141396
56,80,går,140910
57,81,hvem,140771
58,82,bliver,139948
59,83,efter,138223
60,84,sagde,136941
61,85,tilbage,134744
62,86,når,133659
63,88,måske,129293
64,89,også,123365
65,92,ind,118938
66,93,vores,117961
67,94,hej,117948
68,97,skulle,115590
69,98,blev,115363
70,99,nogen,115337
71,100,lidt,115164
72,101,aldrig,114506
73,102,får,114076
74,103,siger,112633
75,104,selv,112567
76,108,kun,105620
77,109,sådan,104978
78,110,ser,103620
79,111,dit,101387
80,112,jer,100849
81,113,igen,100647
82,114,mor,99847
83,115,sammen,99782
84,116,tager,97673
85,117,mand,93704
86,118,hele,93058
87,119,deres,89794
88,120,dag,89619
89,123,sige,87155
90,124,gjorde,86707
91,125,fordi,86690
92,127,undskyld,85702
93,128,før,85624
94,129,været,85155
95,132,væk,83298
96,133,dette,81478
97,134,blive,81255
98,135,år,81178
99,137,helt,80000
